MED,HV,id,expo_lambda,expo_alpha,expo_beta,expo_gamma,init_params,mu,max_iter
0.002121699782508668,1.3900712531723287,0,0.54,0.4,0.3,0.5,0.5,0.0001,10000
0.0012105377831682182,1.390128619813999,1,0.55,0.4,0.3,0.5,0.5,0.0001,10000
0.001865153721485386,1.3903319574771946,2,0.56,0.4,0.3,0.5,0.5,0.0001,10000
0.0032419034174214,1.3841631250689097,0,0.53,0.4,0.3,0.5,0.5,0.0001,2000
0.0021461376330674,1.3896636473093082,1,0.53,0.4,0.3,0.5,0.5,0.0001,5000
0.0022875379698436,1.3858666099851529,2,0.55,0.4,0.3,0.5,0.5,0.0001,2000
0.0014603470820508,1.390574678843696,3,0.55,0.4,0.3,0.5,0.5,0.0001,5000
0.0070478179415955,1.383697116219345,4,0.57,0.4,0.3,0.5,0.5,0.0001,2000
0.0068422219600074,1.3901409116442456,5,0.57,0.4,0.3,0.5,0.5,0.0001,5000
0.0051760733776055,1.3842391915758612,0,0.51,0.1,0.3,0.5,1.0,0.0001,1000
0.0046176930089615,1.3792459034512323,1,0.51,0.1,0.3,0.5,1.0,0.01,1000
0.0046562705104772,1.3829079310564265,2,0.51,0.1,0.5,0.5,1.0,0.0001,1000
0.0045892249214933,1.3792459034512328,3,0.51,0.1,0.5,0.5,1.0,0.01,1000
0.0056100660443003,1.379383020038489,4,0.51,0.25,0.3,0.5,1.0,0.0001,1000
0.004628004458141,1.383955262184391,5,0.51,0.25,0.3,0.5,1.0,0.01,1000
0.0054459552153898,1.3793074258321614,6,0.51,0.25,0.5,0.5,1.0,0.0001,1000
0.0060196489913521,1.384148756825052,7,0.51,0.25,0.5,0.5,1.0,0.01,1000
0.0040141923225636,1.382444915614446,8,0.51,0.4,0.3,0.5,1.0,0.0001,1000
0.0061006039936968,1.3905201397635218,9,0.51,0.4,0.3,0.5,1.0,0.01,1000
0.0052687645810455,1.3793743429626737,10,0.51,0.4,0.5,0.5,1.0,0.0001,1000
0.0053810652128099,1.3840162582751845,11,0.51,0.4,0.5,0.5,1.0,0.01,1000
0.0096069987876657,1.3847991475136514,12,0.6,0.1,0.3,0.5,1.0,0.0001,1000
0.010639015466862,1.3788480808453276,13,0.6,0.1,0.3,0.5,1.0,0.01,1000
0.0099060334785391,1.3854150585896694,14,0.6,0.1,0.5,0.5,1.0,0.0001,1000
0.0106327492629811,1.3788480808453274,15,0.6,0.1,0.5,0.5,1.0,0.01,1000
0.0087686263612172,1.3840001694289483,16,0.6,0.25,0.3,0.5,1.0,0.0001,1000
0.0096174471611625,1.3788480808453276,17,0.6,0.25,0.3,0.5,1.0,0.01,1000
0.0082301684423907,1.3890191739294036,18,0.6,0.25,0.5,0.5,1.0,0.0001,1000
0.0095100880452296,1.3813876884566956,19,0.6,0.25,0.5,0.5,1.0,0.01,1000
0.0087557533003366,1.3895511881292295,20,0.6,0.4,0.3,0.5,1.0,0.0001,1000
0.0092586726910382,1.381619137827122,21,0.6,0.4,0.3,0.5,1.0,0.01,1000
0.0086807340160635,1.3875121213908297,22,0.6,0.4,0.5,0.5,1.0,0.0001,1000
0.0090363843032125,1.389547188526789,23,0.6,0.4,0.5,0.5,1.0,0.01,1000
0.0075192241295405,1.3822803751118613,24,0.75,0.1,0.3,0.5,1.0,0.0001,1000
0.0092847429716723,1.3822803751118613,25,0.75,0.1,0.3,0.5,1.0,0.01,1000
0.0074964819557974,1.3822803751118613,26,0.75,0.1,0.5,0.5,1.0,0.0001,1000
0.009277808408868,1.3822803751118613,27,0.75,0.1,0.5,0.5,1.0,0.01,1000
0.0062537196909333,1.389260546830274,28,0.75,0.25,0.3,0.5,1.0,0.0001,1000
0.0075931410242089,1.3822803751118613,29,0.75,0.25,0.3,0.5,1.0,0.01,1000
0.0064638007138852,1.389267681665419,30,0.75,0.25,0.5,0.5,1.0,0.0001,1000
0.0075801987715176,1.3822803751118613,31,0.75,0.25,0.5,0.5,1.0,0.01,1000
0.010208864183567,1.380233525052336,32,0.9,0.1,0.3,0.5,1.0,0.0001,1000
0.0105189668133418,1.380233525052336,33,0.9,0.1,0.3,0.5,1.0,0.01,1000
0.0100862695723332,1.3802322993552598,34,0.9,0.1,0.5,0.5,1.0,0.0001,1000
0.0104646961414815,1.3802322993552598,35,0.9,0.1,0.5,0.5,1.0,0.01,1000
0.0082977535598203,1.381720090138563,0,0.51,0.1,0.3,0.3,1.0,0.0001,1000
0.0115989548594302,1.379245903451233,1,0.51,0.1,0.3,0.3,1.0,0.01,1000
0.0121713965417045,1.3792204224727436,2,0.51,0.1,0.3,0.3,2.0,0.0001,1000
0.0106068432508887,1.3810238838469702,3,0.51,0.1,0.3,0.3,2.0,0.01,1000
0.0051760733776055,1.3842391915758612,4,0.51,0.1,0.3,0.5,1.0,0.0001,1000
0.0046176930089615,1.3792459034512323,5,0.51,0.1,0.3,0.5,1.0,0.01,1000
0.007645103763385,1.3793879791705532,6,0.51,0.1,0.3,0.5,2.0,0.0001,1000
0.0098920628684686,1.382534339675082,7,0.51,0.1,0.3,0.5,2.0,0.01,1000
0.0081757006233295,1.381813928356698,8,0.51,0.1,0.5,0.3,1.0,0.0001,1000
0.0116422229053181,1.3792458982135634,9,0.51,0.1,0.5,0.3,1.0,0.01,1000
0.0105277209650575,1.3792430201925336,10,0.51,0.1,0.5,0.3,2.0,0.0001,1000
0.0108224972325944,1.3792204224727436,11,0.51,0.1,0.5,0.3,2.0,0.01,1000
0.0046562705104772,1.3829079310564265,12,0.51,0.1,0.5,0.5,1.0,0.0001,1000
0.0045892249214933,1.3792459034512328,13,0.51,0.1,0.5,0.5,1.0,0.01,1000
0.0105234055481398,1.3821283271680638,14,0.51,0.1,0.5,0.5,2.0,0.0001,1000
0.0151386746357782,1.379260769445018,15,0.51,0.1,0.5,0.5,2.0,0.01,1000
0.0053146071089195,1.381692322697063,16,0.51,0.25,0.3,0.3,1.0,0.0001,1000
0.0063186352596858,1.3792459034512328,17,0.51,0.25,0.3,0.3,1.0,0.01,1000
0.0075423182347777,1.379296522662903,18,0.51,0.25,0.3,0.3,2.0,0.0001,1000
0.0080080446464745,1.3792532443253016,19,0.51,0.25,0.3,0.3,2.0,0.01,1000
0.0056100660443003,1.379383020038489,20,0.51,0.25,0.3,0.5,1.0,0.0001,1000
0.004628004458141,1.383955262184391,21,0.51,0.25,0.3,0.5,1.0,0.01,1000
0.0104079553686356,1.3801104102051378,22,0.51,0.25,0.3,0.5,2.0,0.0001,1000
0.0077110293554803,1.3828465132794978,23,0.51,0.25,0.3,0.5,2.0,0.01,1000
0.0074821543161973,1.3792997885506906,24,0.51,0.25,0.5,0.3,1.0,0.0001,1000
0.0063599682331989,1.3793090179575598,25,0.51,0.25,0.5,0.3,1.0,0.01,1000
0.0081177109823733,1.3795120326263546,26,0.51,0.25,0.5,0.3,2.0,0.0001,1000
0.0091921167474814,1.3792545548092043,27,0.51,0.25,0.5,0.3,2.0,0.01,1000
0.0054459552153898,1.3793074258321614,28,0.51,0.25,0.5,0.5,1.0,0.0001,1000
0.0060196489913521,1.384148756825052,29,0.51,0.25,0.5,0.5,1.0,0.01,1000
0.010963024588674,1.3845477376460111,30,0.51,0.25,0.5,0.5,2.0,0.0001,1000
0.0101769098489295,1.382787492864996,31,0.51,0.25,0.5,0.5,2.0,0.01,1000
0.0065133815717355,1.38378411344564,32,0.51,0.4,0.3,0.3,1.0,0.0001,1000
0.0053105153706573,1.3792459034512323,33,0.51,0.4,0.3,0.3,1.0,0.01,1000
0.0108777311069372,1.3794321210007945,34,0.51,0.4,0.3,0.3,2.0,0.0001,1000
0.0052669025203157,1.3838639276596811,35,0.51,0.4,0.3,0.3,2.0,0.01,1000
0.0040141923225636,1.382444915614446,36,0.51,0.4,0.3,0.5,1.0,0.0001,1000
0.0061006039936968,1.3905201397635218,37,0.51,0.4,0.3,0.5,1.0,0.01,1000
0.0131669932682354,1.379309737958681,38,0.51,0.4,0.3,0.5,2.0,0.0001,1000
0.0103031113651024,1.384514775399791,39,0.51,0.4,0.3,0.5,2.0,0.01,1000
0.0056382858975088,1.3815231260270644,40,0.51,0.4,0.5,0.3,1.0,0.0001,1000
0.0052703535974562,1.3792459034512323,41,0.51,0.4,0.5,0.3,1.0,0.01,1000
0.0133968249479098,1.3793032118501145,42,0.51,0.4,0.5,0.3,2.0,0.0001,1000
0.0081113772011643,1.3861103902507173,43,0.51,0.4,0.5,0.3,2.0,0.01,1000
0.0052687645810455,1.3793743429626737,44,0.51,0.4,0.5,0.5,1.0,0.0001,1000
0.0053810652128099,1.3840162582751845,45,0.51,0.4,0.5,0.5,1.0,0.01,1000
0.0114936187714214,1.3792916373495716,46,0.51,0.4,0.5,0.5,2.0,0.0001,1000
0.0107215584638225,1.3849190812514696,47,0.51,0.4,0.5,0.5,2.0,0.01,1000
0.0187991163663828,1.3822192343843236,48,0.65,0.1,0.3,0.3,1.0,0.0001,1000
0.0190010485799215,1.3822192343843236,49,0.65,0.1,0.3,0.3,1.0,0.01,1000
0.0296510924896598,1.3753733804428787,50,0.65,0.1,0.3,0.3,2.0,0.0001,1000
0.0336432651572568,1.3753733804428787,51,0.65,0.1,0.3,0.3,2.0,0.01,1000
0.012227744246166,1.3860664842750614,52,0.65,0.1,0.3,0.5,1.0,0.0001,1000
0.0136969540895964,1.3822192343843234,53,0.65,0.1,0.3,0.5,1.0,0.01,1000
0.0245136768239188,1.386630609776333,54,0.65,0.1,0.3,0.5,2.0,0.0001,1000
0.0246156864439529,1.3814418947681666,55,0.65,0.1,0.3,0.5,2.0,0.01,1000
0.018793117436435,1.3822192343843231,56,0.65,0.1,0.5,0.3,1.0,0.0001,1000
0.0189969238718068,1.3822192343843231,57,0.65,0.1,0.5,0.3,1.0,0.01,1000
0.0296268152770629,1.3753733804428792,58,0.65,0.1,0.5,0.3,2.0,0.0001,1000
0.033581581858149,1.3753733804428792,59,0.65,0.1,0.5,0.3,2.0,0.01,1000
0.012680006888044,1.3845612586769842,60,0.65,0.1,0.5,0.5,1.0,0.0001,1000
0.0137543521116703,1.382219234384323,61,0.65,0.1,0.5,0.5,1.0,0.01,1000
0.0260032900541922,1.3829835871341518,62,0.65,0.1,0.5,0.5,2.0,0.0001,1000
0.0244213273043464,1.37993992028976,63,0.65,0.1,0.5,0.5,2.0,0.01,1000
0.013471811625907,1.3875860526324235,64,0.65,0.25,0.3,0.3,1.0,0.0001,1000
0.0141238333014583,1.3822192343843236,65,0.65,0.25,0.3,0.3,1.0,0.01,1000
0.0251381355032754,1.3832455874635012,66,0.65,0.25,0.3,0.3,2.0,0.0001,1000
0.0287333576966127,1.3753733804428787,67,0.65,0.25,0.3,0.3,2.0,0.01,1000
0.0116693009621308,1.387723598925684,68,0.65,0.25,0.3,0.5,1.0,0.0001,1000
0.0122172583990439,1.387753900789945,69,0.65,0.25,0.3,0.5,1.0,0.01,1000
0.0245404293306202,1.3835668885693408,70,0.65,0.25,0.3,0.5,2.0,0.0001,1000
0.0255785586687133,1.3785036055864306,71,0.65,0.25,0.3,0.5,2.0,0.01,1000
0.0138416737112385,1.3822192343843231,72,0.65,0.25,0.5,0.3,1.0,0.0001,1000
0.0141202746971615,1.3822192343843231,73,0.65,0.25,0.5,0.3,1.0,0.01,1000
0.0261737329039455,1.3842196920416103,74,0.65,0.25,0.5,0.3,2.0,0.0001,1000
0.0289124681219704,1.3753733804428787,75,0.65,0.25,0.5,0.3,2.0,0.01,1000
0.0118383673169146,1.38783826482402,76,0.65,0.25,0.5,0.5,1.0,0.0001,1000
0.0124511149710783,1.382261336875017,77,0.65,0.25,0.5,0.5,1.0,0.01,1000
0.0256561796981619,1.3836310284463562,78,0.65,0.25,0.5,0.5,2.0,0.0001,1000
0.0256248218862148,1.384558617666499,79,0.65,0.25,0.5,0.5,2.0,0.01,1000
0.0135461947033075,1.3812217878683528,80,0.8,0.1,0.3,0.3,1.0,0.0001,1000
0.0136499285555514,1.3812217878683528,81,0.8,0.1,0.3,0.3,1.0,0.01,1000
0.0202424194862408,1.3788507724051156,82,0.8,0.1,0.3,0.3,2.0,0.0001,1000
0.0212664013213547,1.3788507724051156,83,0.8,0.1,0.3,0.3,2.0,0.01,1000
0.0071730338272963,1.3812217878683537,84,0.8,0.1,0.3,0.5,1.0,0.0001,1000
0.007834209553853,1.3812217878683537,85,0.8,0.1,0.3,0.5,1.0,0.01,1000
0.0135412655019788,1.38748603492455,86,0.8,0.1,0.3,0.5,2.0,0.0001,1000
0.0142795092492106,1.3789104691734884,87,0.8,0.1,0.3,0.5,2.0,0.01,1000
0.0136708982956519,1.3812217878683533,88,0.8,0.1,0.5,0.3,1.0,0.0001,1000
0.0136512665798931,1.3812217878683533,89,0.8,0.1,0.5,0.3,1.0,0.01,1000
0.0202424194862407,1.3788507724051164,90,0.8,0.1,0.5,0.3,2.0,0.0001,1000
0.0212622983204725,1.3788507724051164,91,0.8,0.1,0.5,0.3,2.0,0.01,1000
0.0073356248281008,1.381221787868353,92,0.8,0.1,0.5,0.5,1.0,0.0001,1000
0.007826695742721,1.381221787868353,93,0.8,0.1,0.5,0.5,1.0,0.01,1000
0.0127434700235379,1.3874388636437305,94,0.8,0.1,0.5,0.5,2.0,0.0001,1000
0.0142503357049889,1.3883172745998182,95,0.8,0.1,0.5,0.5,2.0,0.01,1000
